,precip,year,10_year_rolling_avg
10,445.7500586609749,2024,409.2586
11,292.5774085521416,2025,407.1633
12,496.48185783287954,2026,417.7089
13,440.1866001155208,2027,428.364
14,640.3077014580635,2028,449.3662
15,535.9613097810388,2029,468.8593
16,442.75977185803185,2030,466.4747
17,417.7937288663484,2031,474.9498
18,528.1587410035058,2032,481.1654
19,425.2954304215368,2033,466.5273
20,377.2979288033457,2034,459.682
21,431.00352254608424,2035,473.5247
22,438.9838010344374,2036,467.7749
23,424.9657714440459,2037,466.2528
24,333.6634785952024,2038,435.5883
25,513.7685568400575,2039,433.3691
26,370.37207185831153,2040,426.1303
27,481.9937297084384,2041,432.5503
28,794.5019778136702,2042,459.1846
29,486.21133286249915,2043,465.2762
30,467.294224441373,2044,474.2758
31,514.4837374934386,2045,482.6239
32,579.4960829063666,2046,496.6751
33,333.0233918075237,2047,487.4809
34,394.8700001125412,2048,493.6015
35,431.1821399548117,2049,485.3429
36,388.7791793695674,2050,487.1836
37,496.71681517432353,2051,488.6559
38,507.47784868404096,2052,459.9535
39,460.1556723287217,2053,457.3479
40,485.335945825565,2054,459.1521
41,590.9294212778877,2055,466.7966
42,302.1622469415165,2056,439.0633
43,507.2478836948312,2057,456.4857
44,406.95308540682527,2058,457.694
45,461.74852640718063,2059,460.7507
46,495.0401990399605,2060,471.3768
47,453.9770535554312,2061,467.1028
48,364.0244070957956,2062,452.7574
49,569.5158476378369,2063,463.6935
50,510.0303043291324,2064,466.1629
51,318.186156959938,2065,438.8886
52,676.2775432815129,2066,476.3001
53,418.0384424559402,2067,467.3792
54,545.2260796020901,2068,481.2065
55,416.5299708165117,2069,476.6846
56,371.7725175041021,2070,464.3578
57,423.2580397475649,2071,461.2859
58,451.3688834763247,2072,470.0204
59,449.77890503114304,2073,458.0467
60,610.6341462980181,2074,468.1071
61,408.68340064019503,2075,477.1568
62,496.1382446614216,2076,459.1429
63,466.4678646132816,2077,463.9858
64,581.650892523026,2078,467.6283
65,700.06141664594,2079,495.9814
66,163.1220676229335,2080,475.1164
