,precip,year,10_year_rolling_avg
10,2541.95094076822,2024,2004.2498
11,1883.070389660439,2025,2018.122
12,1816.0821903571289,2026,2004.3685
13,2597.3975694471337,2027,2051.6127
14,1810.1643089634815,2028,2038.9047
15,2196.7041564727588,2029,2013.5257
16,1584.2261548380866,2030,1970.2798
17,1875.6050424572584,2031,1990.8551
18,1513.676659058012,2032,1960.3666
19,3013.6861452079575,2033,2083.2564
20,2124.416349836356,2034,2041.5029
21,2140.55506429022,2035,2067.2514
22,2224.007604334567,2036,2108.0439
23,2005.0909393118145,2037,2048.8132
24,2236.6625375685,2038,2091.4631
25,1764.30949308068,2039,2048.2236
26,2756.530855553843,2040,2165.4541
27,2943.0229294419187,2041,2272.1959
28,1833.2233929472825,2042,2304.1505
29,1816.367477108104,2043,2184.4187
30,1952.719468960806,2044,2167.249
31,1833.0108938097328,2045,2136.4946
32,1912.4769581081528,2046,2105.3415
33,2314.3803253689966,2047,2136.2704
34,2027.5686533595235,2048,2115.361
35,2866.151197573501,2049,2225.5452
36,2331.340610862142,2050,2183.0262
37,1832.7657911518745,2051,2072.0005
38,2974.849511613498,2052,2186.1631
39,2206.7116997023713,2053,2225.1975
40,2014.9907988734212,2054,2231.4246
41,1839.7652904825736,2055,2232.1001
42,1735.7115116177229,2056,2214.4235
43,2109.417023463073,2057,2193.9272
44,1853.0522800465203,2058,2176.4756
45,2865.481916923807,2059,2176.4086
46,1978.0020629411956,2060,2141.0748
47,2151.238622120889,2061,2172.9221
48,2738.032503089016,2062,2149.2404
49,1968.1205816045783,2063,2125.3813
50,2287.701002216665,2064,2152.6523
51,2006.316121260119,2065,2169.3074
52,2355.382566256736,2066,2231.2745
53,1864.4157222760025,2067,2206.7743
54,1864.424316823968,2068,2207.9115
55,1965.9177560543792,2069,2117.9551
56,2472.9341879058356,2070,2167.4483
57,2357.6803421595596,2071,2188.0925
58,2307.8942537189105,2072,2145.0787
59,1865.7939933864873,2073,2134.846
60,2235.28187174266,2074,2129.6041
61,2235.5393908408205,2075,2152.5264
62,2021.2080870640168,2076,2119.109
63,2183.7739474076716,2077,2151.0448
64,2062.4815920725687,2078,2170.8505
65,1875.0059757107335,2079,2161.7594
66,2348.554466215668,2080,2149.3214
